,semestre,año,emision total libras,Tesla,Hyundai 39,Hyundai 64,Kia N39,Kia E39
0,2,2024,1768747.8577,1761655.1788,1762574.9277,1768088.1148,1774521.0507,1777276.7599
1,1,2025,1634900.5971,1628344.6457,1629194.794,1634290.7791,1640236.9126,1642784.0877
2,2,2025,1501053.3364,1495034.1125,1495814.6603,1500493.4435,1505952.7745,1508291.4156
3,1,2026,1367206.0758,1361723.5794,1362434.5265,1366696.1079,1371668.6364,1373798.7435
4,2,2026,1233358.8151,1228413.0463,1229054.3928,1232898.7723,1237384.4983,1239306.0713
5,1,2027,1099511.5544,1095102.5131,1095674.2591,1099101.4366,1103100.3602,1104813.3992
6,2,2027,965664.2938,961791.98,962294.1254,965304.101,968816.222,970320.727
7,1,2028,831817.0331,828481.4468,828913.9917,831506.7654,834532.0839,835828.0549
8,2,2028,697969.7725,695170.9137,695533.858,697709.4298,700247.9458,701335.3827
9,1,2029,564122.5118,561860.3806,562153.7243,563912.0941,565963.8077,566842.7106
10,2,2029,430275.2512,428549.8474,428773.5905,430114.7585,431679.6696,432350.0384
11,1,2030,296427.9905,295239.3143,295393.4568,296317.4229,297395.5315,297857.3663
12,2,2030,229504.3602,228584.0477,228703.39,229418.7551,230253.4624,230611.0302
